	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
STIM1	0.80553627	0.90310353	0.95810664	0.8873169	0.72136813	0.36034977	0.5932419	0.952724	0.49724838	0.50743514	0.047533374	0.6819715	0.21101378	0.5715148	0.80721694	0.24386694
TRPC1	0.84020615	0.83648616	0.76541823	0.8981555	0.6398373	0.2689111	0.6255505	0.9356676	0.611257	0.46260515	0.020994224	0.60329473	0.32923788	0.18096061	0.8828221	0.14096685
ATP2B4	0.8274444	0.9026364	0.947723	0.8852859	0.79877293	0.37237817	0.5879755	0.93989974	0.5214217	0.48230076	0.0661815	0.71632075	0.21151754	0.62161666	0.84716153	0.26918077
NOS1	0.9033497	0.87713605	0.88295496	0.91435236	0.72195435	0.22485018	0.67477214	0.9632019	0.579446	0.5296943	0.017456276	0.719946	0.24765676	0.19963157	0.91287744	0.13586164
ABCC9	0.6035511	0.70846295	0.788569	0.8010631	0.60779685	0.4039316	0.55809504	0.7588042	0.5166876	0.50562066	0.22878675	0.50536716	0.52202	0.53195804	0.7788248	0.39555413
KCNJ11	0.59460646	0.7447194	0.799771	0.78978074	0.62182474	0.44619924	0.5366633	0.7487922	0.51681685	0.49503326	0.21698174	0.4993665	0.4903796	0.5866814	0.77170783	0.38123515
HADHB	0.930509	0.9493653	0.9536423	0.94122344	0.72353876	0.19892852	0.61321545	0.98098445	0.4876864	0.51863384	0.0119553115	0.806169	0.12460773	0.28830513	0.8921627	0.059417628
HADHA	0.9070457	0.9292653	0.7640637	0.919327	0.63927037	0.20986462	0.41350627	0.9122862	0.39388108	0.56463087	0.019282948	0.7957232	0.2747412	0.2541651	0.91862845	0.021641204
GTF2E1	0.9212986	0.79546213	0.7710505	0.92941666	0.2960587	0.15493335	0.6817475	0.9860641	0.5047566	0.51198345	0.012558804	0.57929456	0.49157295	0.03881838	0.83045685	0.077980176
GTF2E2	0.92465764	0.8700281	0.69695395	0.94009006	0.46877056	0.19520837	0.5339923	0.9649057	0.41902563	0.60251075	0.010079129	0.64518046	0.38635024	0.055476826	0.9035779	0.032029077
GTF2A1	0.9441725	0.8846092	0.8741458	0.9556437	0.34716466	0.1013689	0.74107707	0.9955146	0.59996915	0.7117415	0.0038635049	0.73923814	0.49138072	0.029636135	0.8815013	0.052930534
GTF2A2	0.9645496	0.8704407	0.769104	0.9329657	0.40907615	0.10464231	0.7568416	0.9954092	0.668261	0.7597517	0.0080501065	0.82417095	0.60413134	0.016275728	0.91339165	0.057045486
SCRIB	0.91311914	0.8561479	0.80170536	0.9415753	0.5146127	0.18566385	0.70732087	0.97451323	0.53755206	0.56067294	0.010220364	0.66879565	0.35460937	0.077714086	0.89986944	0.08139563
VANGL2	0.77576345	0.8683256	0.9306231	0.8633131	0.7129504	0.36673087	0.5966379	0.9288167	0.5101508	0.48158965	0.06624859	0.6809756	0.2548807	0.5717436	0.8111323	0.26741096
PARD6A	0.92808163	0.89722174	0.75198585	0.94163793	0.49898592	0.19194607	0.5931284	0.9609	0.5367921	0.47857445	0.014511345	0.6370798	0.40497014	0.11727645	0.91355467	0.058742248
DVL2	0.91499335	0.8749021	0.8346907	0.9541429	0.42669478	0.17959663	0.72492576	0.985379	0.51620305	0.56554127	0.0044605155	0.6509173	0.3645376	0.051974352	0.9060761	0.06643119
MAFK	0.8670602	0.9912293	0.9998882	0.9896421	0.9706444	0.44452235	0.44770226	0.99979657	0.21294273	0.9725709	2.5276617e-05	0.81023955	0.046296123	0.13800621	0.98834443	0.09038899
BACH1	0.8437142	0.8072505	0.8388582	0.8985307	0.36191645	0.25207585	0.56966364	0.97904783	0.40390253	0.5098728	0.02095297	0.6023344	0.34887514	0.10580787	0.75029975	0.10004166
GAB1	0.91052383	0.85757583	0.7964648	0.934667	0.53718925	0.12972176	0.745498	0.97614074	0.6838031	0.502787	0.010318584	0.73342335	0.35705113	0.106269106	0.90869445	0.0940711
GRB2	0.90615475	0.8800747	0.8693666	0.91693497	0.60483825	0.22906712	0.6540049	0.9772274	0.4904967	0.4942827	0.014013208	0.7251769	0.2463158	0.12976308	0.8842412	0.09515382
PIK3R1	0.9086581	0.9436723	0.94051653	0.940672	0.7480334	0.23556496	0.66383123	0.9828046	0.48847547	0.50351846	0.007093959	0.83813214	0.17663132	0.2760994	0.92245585	0.08983196
PIK3CA	0.8847378	0.8832458	0.8253609	0.9182077	0.58768636	0.18377942	0.5939368	0.94108	0.5767472	0.45800316	0.01714364	0.7050088	0.30618027	0.21417405	0.87921566	0.091641806
SRC	0.8606609	0.8546026	0.8322436	0.9174852	0.6253197	0.26400542	0.61837524	0.955232	0.53987664	0.5044878	0.018541414	0.6386683	0.30064198	0.18008594	0.8952395	0.12732273
PXN	0.9314054	0.9013275	0.6915808	0.9454384	0.6018686	0.20614295	0.6560583	0.9584332	0.52505606	0.5961758	0.011516305	0.73876506	0.32949254	0.06833605	0.9418311	0.043872852
CLPS	0.55542994	0.51455754	0.52896637	0.5044595	0.5362692	0.46216384	0.48993972	0.50274426	0.54145944	0.47287172	0.5048004	0.5223144	0.52665424	0.5135748	0.538085	0.4620809
PNLIP	0.55542994	0.51455754	0.52896637	0.5044595	0.5362692	0.46216384	0.48993972	0.50274426	0.54145944	0.47287172	0.5048004	0.5223144	0.52665424	0.5135748	0.538085	0.4620809
GNGT1	0.8096776	0.885843	0.94665223	0.86652935	0.7584948	0.37744215	0.5837293	0.9449236	0.42454726	0.5506559	0.035732385	0.7636533	0.15210377	0.4533472	0.8297766	0.20093349
GNB1	0.86170554	0.8448923	0.8415292	0.8934468	0.5863837	0.304434	0.5916037	0.9464424	0.5786856	0.4816339	0.026131999	0.5339454	0.3180436	0.2488306	0.88693124	0.15183711
CNGA1	0.44606143	0.3292367	0.29866624	0.5234724	0.48733112	0.39997405	0.53102946	0.46893913	0.63248765	0.41546834	0.36867	0.6499028	0.5902274	0.60863096	0.47585008	0.43991604
CNGB1	0.43341032	0.34951717	0.3369043	0.52173644	0.48509791	0.4055447	0.52883303	0.4617516	0.58736414	0.4129418	0.43641293	0.61370593	0.60251975	0.5999599	0.45093256	0.46863785
FNTA	0.84657735	0.7804094	0.66481763	0.8744593	0.49256253	0.2756862	0.5366935	0.8970803	0.5061585	0.47119328	0.037865203	0.5509203	0.35488763	0.13883126	0.8389498	0.103411414
FNTB	0.84143174	0.81423587	0.7620078	0.9089847	0.5502818	0.2491541	0.6155684	0.93703175	0.56296766	0.483889	0.02298602	0.54436237	0.35910052	0.168412	0.8748303	0.11244819
MRE11	0.9637965	0.8751581	0.7438841	0.96313953	0.48979607	0.12330515	0.70540065	0.9934534	0.5128904	0.66001785	0.0046384674	0.74818873	0.464959	0.021301871	0.91695875	0.039455384
RAD50	0.9582406	0.88484794	0.7878472	0.9660931	0.4225632	0.1381081	0.7243174	0.9940143	0.5038229	0.62273586	0.0034995985	0.6744911	0.4193308	0.020649374	0.9230568	0.03822403
KPNA2	0.98737	0.9381407	0.83865833	0.98703605	0.3832418	0.09283114	0.79122716	0.99912995	0.40228695	0.7989171	0.0007307147	0.8389353	0.48754457	0.004296776	0.9640806	0.014781317
NBN	0.95709115	0.88402885	0.8020812	0.9719357	0.38919386	0.15918517	0.65297055	0.9950321	0.42142949	0.587889	0.0037283625	0.6174712	0.3762731	0.019252492	0.9091948	0.034505878
KAT5	0.99904305	0.99225426	0.96554327	0.99806076	0.5633394	0.046441548	0.9624379	0.9999765	0.29546577	0.962627	1.2112096e-05	0.9912043	0.5335865	0.00027039717	0.99702233	0.0053584524
ATM	0.95917577	0.9265215	0.90640014	0.96759987	0.594485	0.16983208	0.6375799	0.99390054	0.4601343	0.59580004	0.0044140676	0.78594995	0.22717242	0.05253042	0.9131299	0.04711445
SMARCA5	0.98130155	0.902412	0.7463759	0.9837015	0.25450158	0.08101111	0.7210261	0.99894184	0.37821776	0.7560387	0.0012864077	0.71433824	0.5760879	0.0031585656	0.93219286	0.011144744
BAZ1B	0.97800124	0.9224802	0.8207321	0.98499334	0.31633142	0.08841842	0.7127772	0.99877185	0.3733535	0.78157884	0.0009681346	0.73901135	0.51506853	0.004968283	0.9386602	0.012119285
UBE2I	0.94794285	0.91857725	0.9288882	0.9593105	0.5921355	0.18390006	0.6990112	0.9933298	0.42312744	0.59908754	0.0061242147	0.7876374	0.24097633	0.06766038	0.9073325	0.06454286
SUMO1	0.9671116	0.9451793	0.9692393	0.9652002	0.75394624	0.18324816	0.71712774	0.99671763	0.47913235	0.6569034	0.0055825426	0.8409928	0.18071383	0.08723981	0.9182213	0.08385285
UBE2V2	0.95869994	0.90899366	0.7984474	0.96891284	0.46510407	0.1296185	0.68787307	0.9916476	0.45672923	0.66824377	0.0026753407	0.73803	0.3925358	0.022056319	0.9346514	0.028152779
UBE2N	0.95422745	0.9090954	0.8359316	0.9665554	0.49291033	0.15836705	0.68632364	0.9924034	0.51102316	0.58672476	0.0036089525	0.67969584	0.31827724	0.035944473	0.9309965	0.03961037
