A1BG	PRDX4
A1CF	PSMG2
A1CF	KRT31
A1CF	POGZ
A1CF	KRT34
A1CF	FHL3
A1CF	CELF2
A1CF	KHSRP
A1CF	EIF4G1
A2M	SHBG
A2M	TSC22D1
A2M	ATP1A1
A2M	LRP1
A2M	AMBP
A2M	ACTB
A2M	SYK
A2M	PAXIP1
A2M	HAPLN3
A2M	DDX20
A2M	IL4
A2M	PZP
A2M	TGIF1
A2M	FANCD2
A2M	LCAT
A2M	CDKN1A
A2M	TRAPPC5
A2M	LHX6
A2M	ADAMTS1
A2M	UFD1
A2M	HSPB2
A2M	H2AX
A2M	IL1B
A2M	TXN
A2M	BRF1
A2M	LGALS3
A2M	TK1
A2M	KIFAP3
A2M	NOS3
A2M	LYN
A2M	CFTR
A2M	HIPK1
A2M	PDGFA
A2M	TTR
A2M	CRTAC1
A2M	LONP1
A2M	HMOX2
A2M	KAT5
A2M	LGALS9
A2M	FBXO6
A2M	ADAMTS12
A2M	TRIM69
A2M	CPB2
A2M	LYZ
A2M	NUDT21
A2M	GRB2
A2M	IQSEC1
A2M	EOGT
A2M	EGFL7
A2M	CDC42
A2M	AP1M2
A2M	LGALS8
A2M	KLK13
A2M	MED4
A2M	CUL9
A2M	CELA1
A2M	NGF
A2M	H2AZ1
A2M	RETN
A2M	TGFB2
A2M	FKBP14
A2M	RAB3A
A2M	CYFIP1
A2M	APP
A2M	DNTTIP1
A2M	ADAMTS7
A2M	MTMR14
A2M	PDGFB
A2M	UTP14A
A2M	PTX3
A2M	AGO2
A2M	NDN
A2M	PINK1
A4GALT	ABHD14A
A4GALT	PTGFRN
A4GALT	CANX
A4GNT	DIPK1A
A4GNT	PRXL2A
A4GNT	ARF5
AAAS	DUSP6
AAAS	SEC61B
AAAS	RHOT2
AAAS	NUP107
AAAS	TGFBR2
AAAS	REL
AAAS	EGFR
AAAS	ANLN
AAAS	NUP133
AAAS	FKBP8
AAAS	UBE2I
AAAS	KPNB1
AAAS	EFNB2
AAAS	BRCA1
AAAS	CANX
AAAS	PTPN1
AAAS	ECT2
AAAS	MYC
AAAS	NRAS
AAAS	IFI16
AAAS	XPO1
AAAS	CUL7
AAAS	TRIM28
AACS	ARFIP1
AACS	UNC13D
AADAT	TF
AADAT	CS
AADAT	OXCT1
AADAT	OAT
AADAT	IDH1
AADAT	ECHS1
AAGAB	AMPH
AAGAB	AP1S2
AAGAB	EIF3C
AAGAB	HEATR1
AAK1	HSPA5
AAK1	CDH1
AAK1	CLTB
AAK1	CCDC88A
AAK1	REPS1
AAK1	ANLN
AAK1	ATP13A2
AAK1	BICD2
AAK1	AP2S1
AAK1	GAK
AAK1	WNK1
AAMDC	BAG3
AAMDC	DNM2
AAMDC	GDAP1
AAMDC	BCAR1
AAMP	VPS52
AAMP	DHPS
AAMP	MKLN1
AAMP	WNK1
AAMP	PPP2R2D
AAMP	RPL10
AAMP	AEN
AAR2	CD2BP2
AAR2	RNF4
AAR2	EFTUD2
AAR2	EGLN3
AAR2	ACTBL2
AAR2	INTU
AAR2	MTCH2
AAR2	CIT
AAR2	UBC
AAR2	ANLN
AAR2	RPS23
AAR2	CDC5L
AAR2	PPP1CA
AAR2	TUBA4A
AAR2	HAX1
AAR2	HSP90AB1
AAR2	HDGF
AAR2	MGST3
AAR2	MAPK1
AAR2	HSD17B10
AAR2	RPS10
AAR2	HSPA5
AAR2	CCT3
AAR2	ILF2
AAR2	EZR
AAR2	PRPS1
AAR2	H3-3A
AAR2	RPS13
AAR2	EGFR
AAR2	RPL23
AAR2	ILF3
AAR2	SHC1
AAR2	STAT3
AAR2	RPL6
AAR2	DYNC1H1
AAR2	HSPA8
AAR2	RPLP2
AAR2	CCT6A
AAR2	HSPB1
AAR2	HSP90AA1
AAR2	YWHAG
AAR2	C1QBP
AAR2	HSPA4
AAR2	DDB1
AAR2	RPL5
AAR2	PDCD6
AAR2	RPS2
AAR2	ATP5F1B
AAR2	PSME3
AAR2	NCL
AAR2	TK1
AAR2	RPL10
AAR2	TFG
AAR2	RPS6
AAR2	YWHAZ
AAR2	RPL18
AAR2	EWSR1
AAR2	RBM39
AAR2	YWHAQ
AAR2	CCT7
AAR2	IQGAP1
AAR2	MDH2
AAR2	RAB11A
AAR2	RPL14
AAR2	PSMC4
AAR2	FUS
AAR2	CCT2
AAR2	H3-3B
AAR2	MCM3
AAR2	RPS15
AAR2	RPSA
AAR2	KPNB1
AAR2	H1-2
AAR2	PDIA3
AAR2	TNRC6B
AAR2	MYL6
AARS1	YWHAZ
AARS1	SOD1
AARS1	STAT1
AARS1	RAC1
AARS1	ASNS
AARS1	ESR2
AARS1	BIRC3
AARS1	DARS1
AARS1	VCAM1
AARS1	MEF2C
AARS1	SRP9
AARS1	PPP2R5E
AARS1	CHMP4C
AARS1	HSP90AB1
AARS1	UBB
AARS1	RBM39
AARS1	NARS1
AARS1	AURKB
AARS1	CACYBP
AARS2	RBM3
AARS2	TBRG4
AARS2	RPUSD4
AARS2	BRD4
AARS2	IARS2
AARS2	FOXB1
AARS2	OXLD1
AARS2	MRRF
AARS2	MTRES1
AARS2	HSPD1
AARS2	CCDC8
AARS2	FBXW11
AARS2	DISC1
AARS2	ESR2
AARS2	MTG1
AARS2	MRPL4
AARS2	ZNRF1
AARS2	METTL17
AARS2	MCUR1
AARS2	RNF2
AARS2	MTIF2
AARS2	IL1R2
AARS2	MTRF1
AARS2	RARS2
