From	To
STIM1_HUMAN	ENSG00000167323.13
TRPC1_HUMAN	ENSG00000144935.17
AT2B4_HUMAN	ENSG00000058668.16
NOS1_HUMAN	ENSG00000089250.20
ABCC9_HUMAN	ENSG00000069431.14
KCJ11_HUMAN	ENSG00000187486.7
ECHB_HUMAN	ENSG00000138029.14
ECHA_HUMAN	ENSG00000084754.12
T2EA_HUMAN	ENSG00000153767.10
T2EB_HUMAN	ENSG00000197265.9
TF2AA_HUMAN	ENSG00000165417.12
T2AG_HUMAN	ENSG00000140307.11
SCRIB_HUMAN	ENSG00000180900.20
SCRIB_HUMAN	ENSG00000274287.4
VANG2_HUMAN	ENSG00000162738.7
PAR6A_HUMAN	ENSG00000102981.10
DVL2_HUMAN	ENSG00000004975.12
MAFK_HUMAN	ENSG00000198517.10
BACH1_HUMAN	ENSG00000156273.16
GAB1_HUMAN	ENSG00000109458.10
GRB2_HUMAN	ENSG00000177885.15
P85A_HUMAN	ENSG00000145675.16
PK3CA_HUMAN	ENSG00000121879.6
SRC_HUMAN	ENSG00000197122.13
SRC_HUMAN	ENSG00000291971.1
PAXI_HUMAN	ENSG00000089159.17
COL_HUMAN	ENSG00000137392.10
LIPP_HUMAN	ENSG00000175535.6
GBG1_HUMAN	ENSG00000127928.13
GBB1_HUMAN	ENSG00000078369.19
CNGA1_HUMAN	ENSG00000198515.16
CNGB1_HUMAN	ENSG00000070729.14
FNTA_HUMAN	ENSG00000168522.13
FNTB_HUMAN	ENSG00000257365.8
MRE11_HUMAN	ENSG00000020922.13
RAD50_HUMAN	ENSG00000113522.14
IMA1_HUMAN	ENSG00000182481.10
NBN_HUMAN	ENSG00000104320.15
KAT5_HUMAN	ENSG00000172977.13
ATM_HUMAN	ENSG00000149311.21
SMCA5_HUMAN	ENSG00000153147.6
BAZ1B_HUMAN	ENSG00000009954.11
UBC9_HUMAN	ENSG00000103275.22
SUMO1_HUMAN	ENSG00000116030.17
UB2V2_HUMAN	ENSG00000169139.12
UBE2N_HUMAN	ENSG00000177889.10
BRCA1_HUMAN	ENSG00000012048.25
BARD1_HUMAN	ENSG00000138376.11
SUMO2_HUMAN	ENSG00000188612.12
MDC1_HUMAN	ENSG00000137337.16
MDC1_HUMAN	ENSG00000224587.9
MDC1_HUMAN	ENSG00000225589.9
MDC1_HUMAN	ENSG00000234012.9
MDC1_HUMAN	ENSG00000228575.9
MDC1_HUMAN	ENSG00000237095.9
