	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ARF5	0.18107334	0.3023509	0.1778235	0.74203753	0.9006173	0.69415224	0.1877024	0.7891402	0.35612547	0.16552998	0.4595521	0.46904588	0.20116647	0.29139546	0.9278727	0.21703075
ACAP1	0.3381943	0.3071458	0.31740493	0.9460048	0.9653505	0.29828584	0.20009041	0.63271743	0.40204227	0.14723611	0.2202225	0.60367817	0.20532537	0.10473031	0.9937546	0.052713808
COPA	0.14762719	0.43495804	0.2116591	0.48228508	0.86966014	0.8070883	0.14445549	0.8452639	0.27884975	0.19497153	0.3169886	0.40591255	0.24613333	0.5307685	0.69545686	0.23318587
RAB11FIP3	0.16237228	0.32615435	0.19043882	0.6169439	0.7712577	0.5402064	0.19272687	0.5527443	0.42344192	0.40630677	0.3151157	0.6443247	0.25464728	0.25808588	0.8092199	0.45365462
COPB2	0.2930107	0.37697536	0.28970358	0.53703266	0.8704167	0.6357234	0.10555661	0.8219592	0.87037355	0.36908466	0.49202195	0.32665387	0.37690416	0.95692563	0.84222364	0.06689187
COPE	0.11948282	0.34954432	0.1357709	0.43989143	0.85605353	0.79963124	0.121540785	0.81104267	0.35219935	0.1916183	0.23105617	0.4041914	0.24299328	0.51549554	0.60734653	0.23822375
ARF3	0.18532284	0.3297213	0.13216995	0.8428142	0.89894897	0.6851149	0.13697888	0.7408681	0.3409685	0.12738863	0.29695222	0.6021742	0.23552279	0.26031393	0.9512592	0.17556582
ARFGAP1	0.15559001	0.3335303	0.15045035	0.75582963	0.90022016	0.75774467	0.118585184	0.8350937	0.33833545	0.11073322	0.37448668	0.40208533	0.17879142	0.47307348	0.9059999	0.15587784
RAB11FIP1	0.15709399	0.33410686	0.22753106	0.5344559	0.765999	0.5475295	0.20860833	0.55149263	0.4069234	0.37744296	0.3724623	0.6435753	0.30207476	0.27922463	0.78995126	0.5114539
CYTH1	0.3482825	0.2662577	0.35608363	0.7132766	0.7046013	0.3938643	0.23650396	0.4288386	0.4250854	0.531315	0.40530485	0.6216783	0.2916901	0.2534994	0.8092507	0.2673179
IQSEC1	0.47792873	0.081497155	0.6755274	0.9981194	0.9557238	0.12746504	0.04701072	0.02833256	0.44802132	0.4794278	0.034874734	0.8574095	0.1566501	0.05028571	0.9907617	0.012831756
RAB11A	0.096871264	0.3320514	0.1595834	0.5105879	0.7656252	0.6199962	0.14852719	0.57380855	0.2950342	0.3972413	0.29072055	0.6230693	0.18474203	0.34016973	0.6435918	0.45474115
ARFGAP2	0.19625832	0.36739868	0.1585693	0.6363255	0.890922	0.8059023	0.15006612	0.8673269	0.35234693	0.10695226	0.47546053	0.34188923	0.19786783	0.45160252	0.8876514	0.18828711
COPB1	0.090048365	0.3126195	0.12706524	0.4146126	0.86393934	0.8157532	0.07231026	0.77118725	0.32600492	0.2383268	0.18765607	0.38569477	0.2551215	0.54242754	0.49083397	0.2596115
ARF4	0.16227071	0.3710743	0.1845197	0.57594794	0.88760996	0.758395	0.1703623	0.79261327	0.32929847	0.17458607	0.42376158	0.42458186	0.16279098	0.423571	0.7999191	0.27338523
ASAP1	0.21259911	0.30508643	0.30970842	0.62602067	0.7752079	0.47702745	0.3441916	0.5309664	0.4230849	0.37928668	0.4746196	0.63386524	0.22772324	0.16309531	0.8505241	0.46041307
