	MF: KIRC	METH: KIRC	GE: KIRC	MF: BRCA	METH: BRCA	GE: BRCA	MF: READ	METH: READ	GE: READ	MF: PRAD	METH: PRAD	GE: PRAD	MF: STAD	METH: STAD	GE: STAD	MF: HNSC	METH: HNSC	GE: HNSC	MF: LUAD	METH: LUAD	GE: LUAD	MF: THCA	METH: THCA	GE: THCA	MF: BLCA	METH: BLCA	GE: BLCA	MF: ESCA	METH: ESCA	GE: ESCA	MF: LIHC	METH: LIHC	GE: LIHC	MF: UCEC	METH: UCEC	GE: UCEC	MF: COAD	METH: COAD	GE: COAD	MF: LUSC	METH: LUSC	GE: LUSC	MF: CESC	METH: CESC	GE: CESC	MF: KIRP	METH: KIRP	GE: KIRP
A1CF	0.012697636	0.0	0.019120453	0.031240278	0.0	0.0	0.02776244	0.0	0.00345138	0.090340566	0.0	0.0	0.011448465	0.0	0.101547124	0.005362522	0.0	0.0	0.117900911	0.0	0.0	0.0	0.0	0.0	0.02857512	0.0	0.0	0.0	0.0	0.330336545	0.024671972	0.0	0.06799444	0.010251267	0.0	0.0	0.0	0.0	0.081557076	0.0	0.0	0.0	0.021465163	0.0	0.0	0.0	0.0	0.255729347
A2M	0.01283583	0.283167822	0.023198766	0.010607538	0.416535205	0.175699875	0.0	0.206066239	0.096365377	0.022772638	0.291289529	0.039136029	0.038997661	0.385052527	0.002847415	0.016203527	0.325116211	0.009436649	0.122328318	0.052281363	0.261654255	0.003600971	0.05236855	0.053821204	0.030739975	0.089932148	0.260975317	0.02702766	0.307909196	0.059600623	0.0	0.023617283	0.142340189	0.019195733	0.408857563	0.228107852	0.016203612	0.114923504	0.108392326	0.109769121	0.049124348	0.36224561	0.0	0.620858832	0.308536321	0.040877242	0.089981801	0.069628372
A4GNT	0.0	0.127466217	0.054203581	0.005309092	0.331138534	0.314186351	0.0	0.453838129	0.0	0.022773257	0.054335904	0.0	0.012992514	0.372587857	0.099920833	0.011005349	0.493138669	0.123493093	0.0	0.230463333	0.248365214	0.0	0.016454804	0.186773293	0.0	0.464489049	0.151812109	0.0	0.157155384	0.0	0.0	0.236359344	0.273490528	0.0	0.202146068	0.242224414	0.0	0.306122326	0.0	0.054857437	0.388716007	0.256519862	0.028171304	0.38704977	0.056436476	0.040973824	0.08027723	0.031802468
AAAS	0.025661412	0.132457416	0.016821478	0.005305524	0.147528562	0.00366073	0.0	0.044166763	0.028747298	0.0	0.201550891	0.038975794	0.012745709	0.248668382	0.005951712	0.016424546	0.190120421	0.019499003	0.0	0.013259524	0.030523103	0.003603977	0.059653938	0.022606116	0.0	0.235257644	0.024701755	0.0	0.343423523	0.027547583	0.0	0.000570116	0.059637682	0.00382873	0.078753609	0.01507088	0.0	0.043348922	0.024331781	0.0	0.109155069	0.043775778	0.0	0.010566994	0.008443868	0.0408719	0.028386018	0.032521954
AAK1	0.0	0.007045638	0.066939068	0.021042639	0.004314325	0.039461379	0.0	0.003351805	0.083971189	0.045397399	0.011482982	0.004424544	0.0	0.030778847	0.018272595	0.0	0.003594708	0.004396998	0.07893999	0.014900253	0.061340692	0.0	0.008498293	0.165757397	0.0	0.009026499	0.031081617	0.0	0.012878508	0.062239272	0.024925784	0.001296269	0.017778558	0.022213703	0.003102115	0.045261292	0.010601177	0.009358055	0.069642682	0.0	0.023136817	0.009681492	0.027942175	0.005864732	0.002304893	0.040600621	0.000265103	0.062737535
AASDHPPT	0.012825205	0.008284264	0.010183181	0.005311454	0.010928514	0.01988889	0.0	0.007935147	0.034002059	0.045544148	0.008634225	0.031393854	0.0	0.045589305	0.036898307	0.010959648	0.01298466	0.008966455	0.0	0.004488283	0.024666456	0.003566121	0.001493834	0.015008092	0.0	0.016534262	0.011342259	0.0	0.033002217	0.018649411	0.0	0.011218627	0.004363306	0.011603211	0.001113059	0.023665521	0.010892137	0.00925683	0.043200767	0.0	0.00380013	0.02989053	0.0281922	0.024993366	0.050807627	0.0	0.011094189	0.00624155
ABCA1	0.051144207	0.10248335	0.095072842	0.021128714	0.220819295	0.150602539	0.0	0.011509308	0.068837668	0.022228663	0.114270062	0.006364676	0.025445691	0.095644542	0.067214413	0.032777734	0.026757474	0.072624713	0.059187506	0.081088501	0.122755689	0.0	0.061018603	0.064126388	0.029086814	0.023526847	0.063183507	0.080800863	0.005890305	0.048630751	0.074616969	0.068354882	0.078530182	0.040967756	0.006580296	0.009727153	0.053827436	0.043715015	0.085904959	0.108518786	0.060629444	0.045536372	0.027808088	0.055847547	0.026251318	0.040718478	0.031990697	0.050289007
ABCB1	0.038401107	0.0	0.109988456	0.005293308	0.0	0.272504215	0.0	0.0	0.103157275	0.113644203	0.0	0.013951223	0.115377978	0.0	0.023152043	0.021594989	0.0	0.094737308	0.120673059	0.0	0.149167767	0.0	0.0	0.022088365	0.030052652	0.0	0.223498765	0.0	0.0	0.08745802	0.074422227	0.0	0.007837779	0.033682935	0.0	0.362283614	0.026258913	0.0	0.132738979	0.106927933	0.0	0.213787601	0.081080581	0.0	0.415861428	0.040731401	0.0	0.012053076
ABCB11	0.0	0.207981148	0.0	0.015875654	0.053294926	0.33514167	0.0	0.179594717	0.0	0.0	0.105844914	0.286289096	0.038847979	0.170016965	0.086275042	0.016427979	0.230575634	0.183224487	0.06102659	0.126016182	0.139859001	0.010809126	0.014139375	0.0	0.030544011	0.164936814	0.21443538	0.027029427	0.218900411	0.205031328	0.025029821	0.118956527	0.13769579	0.019348933	0.174648941	0.0	0.016312114	0.121775248	0.0	0.054721417	0.067664603	0.121885727	0.027801003	0.076469007	0.147247669	0.040919536	0.003355337	0.0
ABCB4	0.01280961	0.121329726	0.125163549	0.015780655	0.277335054	0.018840416	0.056134241	0.003911556	0.032899557	0.02272085	0.358466641	0.03654657	0.050324866	0.281015105	0.012489631	0.027114984	0.273072419	0.082224252	0.08038311	0.263608608	0.118088993	0.0	0.050066262	0.037571111	0.061045236	0.182052633	0.161280174	0.0	0.105387597	0.062896078	0.0	0.029216172	0.090542038	0.018591751	0.032823385	0.028497371	0.021228236	0.10263843	0.03774987	0.054506496	0.026837794	0.002201972	0.053475717	0.361270196	0.077604225	0.040758953	0.243092515	0.08711624
