	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
A2M	0.6007438	0.99158645	0.011678404	0.9976399	0.891454	0.26009256	0.13768223	0.5385798	0.40745038	0.0793048	0.061088108	0.0018683012	0.6587478	0.14336315	0.9309511	0.50066006
APOA1	0.44065553	0.88123214	0.19601676	0.97864723	0.82869774	0.17740521	0.17876436	0.3428418	0.546996	0.29932496	0.030444995	0.014716385	0.8044395	0.22875172	0.86243576	0.65506816
BMP1	0.6403306	0.59147537	0.562225	0.91078615	0.84590775	0.20527689	0.36317512	0.6572245	0.5306976	0.40249318	0.3704481	0.12431568	0.76718557	0.3564452	0.85774	0.7334388
PROC	0.29738092	0.96614087	0.054820973	0.98439884	0.74535006	0.26973984	0.27754277	0.62583804	0.6990016	0.31734106	0.08256357	0.018638484	0.49020252	0.08340688	0.80583596	0.6669577
A4GNT	0.018657777	0.95033187	0.99465585	0.0826201	0.90707767	0.031923823	0.066979796	0.36491996	0.052691955	0.9853302	0.9922276	0.96959573	0.93909585	0.7240292	0.9694845	0.8260345
MUC1	0.016766833	0.97236687	0.9991555	0.03996728	0.95329773	0.0065312837	0.05325273	0.10552376	0.045121033	0.998538	0.99911994	0.9921491	0.9412646	0.57591873	0.9860153	0.9491682
MUC12	0.016521519	0.97258747	0.9991703	0.039647635	0.9536694	0.0064174645	0.05310039	0.10452445	0.044633258	0.99856395	0.9991392	0.9922489	0.94201237	0.57558316	0.98602885	0.94947535
MUC13	0.016387247	0.9729471	0.9991873	0.03943368	0.95373136	0.006387558	0.05281322	0.103219666	0.044457536	0.99859303	0.99915504	0.99230546	0.94264686	0.575075	0.98620725	0.94943416
MUC15	0.01743492	0.9708029	0.9990823	0.041895874	0.95234996	0.0070049996	0.054904953	0.10955325	0.046291593	0.99841607	0.99905425	0.99165124	0.9384446	0.57783884	0.9856405	0.94795465
MUC16	0.01723159	0.97148997	0.9991147	0.041045707	0.95253694	0.0068193288	0.054275103	0.10762763	0.045911495	0.9984681	0.99908185	0.9918433	0.93967885	0.57687294	0.9859015	0.94824415
